问题,A,B,C,D,答案
175、中国近代史上正式废除科举制度的改革是 ( ),戊戌变法,清末新政,民国新政,新文化运动,： B
176、1935年1月，中国共产党在遵义会议上解决的主要问题是 ( ),思想和作风问题,军事和组织问题,筹款和征兵问题,政治和军事问题,： B
177、国家垄断资本主义的宏观管理和调节体现的是(   )。,全体劳动人民的经济利益,个别金融寡头的经济利益,垄断资产阶级的整体利益,国有企业的经济利益,： C
178、毛泽东把党对军队的绝对领导权确立下来是通过 ( ),"""八七""全议",井冈山会师,文家市会议,三湾改编,：D
179、到2020年全面建成小康社会的奋斗目标是在（）提出的。,党的十八大,党的十九大,党的十七大,党的十六大,： A
180、邓小平理论形成的时代背景是(   )成为时代主题。,和平,发展,和平与发展,经济建设,： C
181、中国共产党指出，战胜蒋介石的政治基础是 ( ),中共力量不断壮大,蒋介石多行不义必自毙,人民解放战争所具有的爱国的正义的革命的性质，必然要获得全国人民的拥护,美国看着中共壮大，不会总站在国民党这边,： C
182、1979年12月，邓小平会见日本首相（）时首次提出了“小康”的概念。,田中角荣,麻生太郎,大平正芳,野田佳彦,： C
183、面对单边主义和强权政治抬头，中国必须继续奉行（）的和平外交政策，始终不渝走和平发展道路，在和平共处五项原则基础上发展同各国友好合作关系。,独立自主,互利共赢,以利相交,公平竞争,： A
184、党的十八大以来我们党明确提出的总体国家安全观，坚持国家利益至上，以(   )安全为宗旨。,经济,政治,军事,人民,： D
185、2010年，中国已经形成了以(   )为核心的中国特色社会主义法律体系，为改革开放和社会主义现代化建设提供了有力的法治保障。,民主,法律,法制,宪法,： D
186、中国近代史上第一个睁眼看世界的人是 ( ),林则徐,邓廷桢,魏源,严复,： A
187、北洋军阀政府代表的是 ( ),小资产阶级知识分子利益,民族资产阶级利益,大地主和买办资产阶级利益,工农利益,： C
188、资本主义生产的实质是(   )。,社会化大生产,国际化大生产,剩余价值生产,现代商品生产,： C
189、近代以来中华民族最伟大的梦想是（）。,全面建成小康社会,实现中华民族伟大复兴,基本实现现代化,建成现代化强国,： B
190、毛泽东思想紧紧围绕的主题是(   )。,中国革命,社会主义建设,中国革命和建设,中国建设和改革,： C
"191、1951年至1952年""五反""运动开展的领域是 ( )",国营企业,私营工商业,党政机关    三反,合作社,： B
192、外国人可以在中国横行不法，中国政府却无权干预，是因为资本主义列强在中国享有  ( ),协定关税权,驻兵权,领事裁判权,开矿设厂权,： C
193、革命的根本问题是  ( ),分清敌友问题,革命动力的问题,政权问题,领导权的问题,：C
"194、1928年召开的中共""六大""认为，民族资产阶级是最危险的敌人之一，国民党的各个派别都是一样的反革命。这一观点表明 ( )","大会仍未肃清""左""倾思想",中共认清了革命的对象与动力,大会纠正了右倾主义路线,"中共着力纠正""左""倾思想",： A
195、全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从(   )，在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,： D
196、为了控制人民，禁止革命活动，自 ( ) 起，国民党普遍推行保甲制度。,1942年,1934年,1937年,1946年,： B
197、下列观点中，不属于新文化运动倡导者的观点的是 ( ),孔学并不等于全部国学,"""孔学优点，仆未尝不服膺""","封建礼教是""吃人的礼教""，其流毒""不减于洪水猛兽""",中国的全部传统文化应该否定,： D
198、十三届全国人大三次会议2020年5月28日下午举行闭幕会，表决通过了《中华人民共和国民法典》，这部法律将自（）起施行。,2020年6月1日 ,2020年10月1日, 2020年12月30日 ,2021年1月1日,： D
"199、建设社会主义法治国家明确了全面依法治国的性质和方向,也突出了全面( )的工作重点。",依法治国,以法治国,深化治国,小康建设,： A
200、社会主义实现由空想到科学发展的标志是(   )。,《共产党宣言》的发表,“共产主义者同盟”的建立,空想社会主义理想的破灭,无产阶级革命的胜利,： A
"201、错误指责邓子恢在主持中央农村工作中犯了""右倾机会主义错误""的文件是 ( )",《关于发展农业合作社的决议》,《关于农业生产互助合作的决议(草案)》,《关于农村合作化问题》,《中国土地法大纲》,： C
202、1894年孙中山在檀香山组织的反清革命组织是 ( ),兴中会,同盟会,光复会,华兴会,： A
203、在“三个代表”重要思想的指导下，我们党和国家推进社会主义(   )改革，进一步消除了束缚生产力发展的体制性障碍。,计划经济,市场经济,机制体制,政治体制,： B
204、中国工人阶级政党的最早组织是在 ( ) 建立的,上海,北京,天津,广州,： A
205、中国共产党很早就重视国家的工业化问题，早在(   )时期，毛泽东就指出，中国的民族独立有巩固的保障，就必须工业化。,大革命,土地革命,抗日战争,解放战争,： C
206、中国共产党明确提出彻底的反帝反封建的纲领是在 ( ),党的四大上,党的一大上,党的三大上,党的二大上,： D
207、党的(   )正式把建立社会主义市场经济体制确立为我国经济体制改革的目标。,十三大,十四大,十五大,十六大,： B
208、1938年10月，新加坡成立了以 ( ) 为主席的华侨筹赈祖国难民总会。,司徒美堂,陈嘉庚,徐四民,林白,： B
209、近代中国社会最主要的矛盾是(   )。,农民阶级和地主阶级的矛盾,帝国主义和中华民族的矛盾,人民大众和封建主义的矛盾,无产阶级和资产阶级的矛盾,： B
210、毛泽东晚年的错误是由于违反了他自己主张的(   )原则。,理论联系实际,实事求是,艰苦奋斗,独立自主,： B
211、洋务运动未能使中国走上富强的根本原因是： ( ),单纯学习西方科技以求自强,西方列强极力阻碍破坏,没有采用资本主义生产管理制度,没有触动封建生产关系,： D
212、近代中国人数最多的被剥削阶级是  ( ),无产阶级,资产阶级,农民阶级,工人阶级,： C
213、到2020年全面建成小康社会的奋斗目标是（）提出的。,党的十八大,党的十九大,党的十七大,党的十六大,： A
214、《共产党宣言》第一个中文全译本的翻译者是 ( ),李达,李大钊,陈独秀,陈望道,： D
215、 “四个全面”是指（）、全面深化改革、全面依法治国、全面从严治党。,全面建成小康社会,全面对外开放,全面实现现代化,全面共同富裕,： A
216、侵略者第二次洗劫和焚烧圆明园的战争是 ( ),甲午战争,第二次鸦片战争,鸦片战争,八国联军侵华战争,： D
217、中国共产党作为马克思主义的忠诚遵循者和践行者，始终牢记（）的自身使命，致力于积极调动各种因素办最大的事。,无产阶级,工人阶级,农民阶级,中产阶级,： A
218、作为中国共产党和社会主义事业指导思想的马克思主义是指(   )。,不仅指马克思恩格斯创立的基本理论、基本观点和学说的体系，也包括继承者对它的发展。,无产阶级争取自身解放和整个人类解放的学说体系,关于无产阶级斗争的性质、目的和解放条件的学说,列宁创立的基本理论、基本观点和基本方法构成的科学体系,： A
"219、树立中国特色社会主义共同理想的信念,必须坚定对中国共产党的信任、坚定走中国特色社会主义道路的信念、(   )。",坚定“缩小贫富差距”的信念,坚定实现中华民族伟大复兴的信心,坚定战胜国际金融危机的信念,坚定中国改革成功的信念,： B
220、全面小康覆盖的（）要全面，是“五位一体”全面进步的小康。,领域,区域,人口,民族,： A
221、我国对资本主义工商业的社会主义改造基本完成的标志是(   )。,加工订货的实行,单个企业公私合营的实现,统购包销的实行,全行业公私合营的实现,： D
222、(  )是依法治国的核心,诚信友善,民主法治,公平正义,安定有序,： B
223、毛泽东创造了全党通过(   )进行马克思列宁主义思想教育的整风形式。,批判与斗争,批评与激励,反思与辩论,批评与自我批评,： D
224、（）是指对识别出来的贫困户和贫困村，深入分析致贫原因，落实帮扶责任，逐村逐户制定帮扶计划，集中力量予以扶持。,精准识别,精准帮扶,精准管理,精准考核,： B
"225、展现了全面依法治国的基本格局,没有涉及到的是(     )",科学立法,严格执法,民主依法,公正司法,： C
"226、在我国国家机关体系中,(   )产生其他国家机关,其他国家机关对它负责,受它监督。",国家行政机关,中共中央,国家权力机关,最高军事领导机关,： C
227、习近平总书记多次指出，小康不小康，关键看（）。,老乡,农民,居民,工人,： A
228、掌握意识形态工作领导权，要加快构建中国特色(   )。,哲学社会科学,哲学自然科学,政治经济学,科学社会主义,： A
229、以下选项中不属于职业道德规范的是,爱岗敬业,服务群众,办事公道,尊老爱幼,： D
230、根据《关于正确处理人民内部矛盾的问题》的分析，对于科学文化领域里的人民内部矛盾，解决的具体方针是(   )。,“百花齐放、百果飘香”,“百花齐放、百家争鸣”,“百果飘香、百家争鸣”,“百家争鸣、百舸争流”,： B
231、“房子是应该经常打扫的，不打扫就会积满了灰尘，脸是应该经常洗的，不洗也就会灰尘满面。我们同志的思想、我们党的工作，也会沾染灰尘的，也应该打扫和洗涤。”这段话形象地反映了中国共产党在长期革命实践中历形成的(   )。,密切联系群众的优良作风,艰苦奋斗的优良作风,理论联系实际的优良作风,批评与自我批评的优良作风,： D
232、毛泽东思想是在总结(   )的基础上，逐步形成和发展起来的。,中国革命的历史经验,中国建设的历史经验,中国革命和建设正反两方面历史经验,苏联经验,： C
233、1945年10月10日，国共双方签署了  ( ),《政府与中共代表会谈协定》,《政府与中共代表会谈纪要》,《国共重庆谈判协定》,《国共重庆谈判纪要》,： B
234、在1931年的土地革命路线中，中共对富农的政策是 ( ) 。,联合富农,保护富农,限制富农,消灭富农,： C
235、党在新时代的强军目标是建设一支(   )的人民军队。,听党指挥，能打能杀，坚定执着,作风优良，敢打硬仗，不怕吃苦,强大后勤保障,听党指挥、能打胜仗、作风优良,： D
236、在1931年当选为中华苏维埃共和国临时中央政府主席的是 ( ),毛泽东,周恩来,王稼祥,张国焘,： A
237、中国道路是指(   )。,社会主义道路,民族资本主义道路,中国特色社会主义道路,改革开放道路,： C
238、在大革命失败的危急时刻，1927年8月，中共在汉口召开的紧急会议是  ( ),洛川会议,八七会议,古田会议,遵义会议,： B
239、建设现代化经济体系，必须建设资源节约、环境友好的(   )。,产业体系,市场体系,绿色发展体系,城乡区域发展体系,： C
"240、在第五次反""围剿""斗争失败后，率先撤离根据地开始长征的是 ( )",红二方面军,红四方面军,红一方面军,红十五军团,： C
241、全民族抗战开始后，中国军队取得第一次重大胜利的战役是 ( ),台儿庄战役,昆仑关战役,平型关战役 1937年,百团大战 1940年8月-12月,： C
242、军队必须完全地无条件地置于中国共产党的领导之下，军队最高领导权和指挥权属于(   )。,党中央,广大人民,党中央、中央军委,中央军委,： C
243、我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   )。,国营经济,私人资本主义经济,合作社经济,国家资本主义经济,： C
"244、中共中央明确提出""和平、民主、团结""口号的时间是 ( )",1945-8-25,1943-8-25,1944-8-25,1946-8-25,： A
245、党的十九大报告指出，要坚决打赢脱贫攻坚战，确保到（）我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困。,2020年,2025年,2030年,2035年,： A
246、习近平指出，强国必须强军，巩固国防和强大人民军队是新时代坚持和发展中国特色社会主义、实现中华民族伟大复兴的(   )。,重要保障,战略支撑,重要前提,基本条件,： B
247、建设中国特色社会主义法治体系，首先是(   )。,加强法治专门队伍和法律服务队伍建设,要建立严密的法治监督体系,要完善以宪法为核心的中国特色社会主义法律体系,要加强党内法规制度建设,： C
248、实现社会主义现代化和中华民族伟大复兴的中国梦，科学的发展理念和(   )必不可缺。,发展战略,发展战术,发展思维,发展思想,： A
"249、依照我国现行宪法的规定, 城市设立的居民委员会是(   )。",城市基层政权组织,城市基层群众性自治组织,城市政权的派出机关,城市群众性自治组织,： B
250、科学发展中强调的以人为本的“人”是指(   )。,人民群众,农民,工人,知识分子,： A
251、根据邓小平提出的“三步走”发展战略，我国到21世纪中叶的战略目标是(   )。,全面建成小康社会,基本接近发达国家水平，生活比较富裕,基本实现现代化，达到中等发达国家的水平,物质文明与精神文明基本协调发展,： C
252、社会主义核心价值观是(   )的内核凝练和集中表达。,马克思主义理论体系,社会主义理论体系,社会主义思想体系,社会主义核心价值体系,： D
253、全国人民代表大会及其常委会制定的规范性法律文件叫(   )。,宪法,法律,行政法规,自治法规,： B
254、新中国在对资本主义工商业实行社会主义改造的过程中，在利润分配上采取的政策是(   )。,统筹兼顾,劳资两利,公私兼顾,四马分肥,： D
255、起了临时宪法作用并以此为中华人民共和国中央人民政府施政方针的文献是 ( ),《中华人民共和国宪法》,《共同纲领》,《中华人民共和国新宪法》,《宪法大纲》,： B
256、1945年8月25日中国共产党在对时局的宣言中明确提出的口号是 ( ),和平、民主、团结,打到蒋介石，解放全中国,建立民主联合政府,避免内战，和平建国,： A
257、无产阶级反对资产阶级的斗争中，最具决定意义的是(   )。,经济斗争,政治斗争,理论斗争,议会斗争,： B
258、我国把私人资本主义企业改造成为社会主义性质企业所采取的形式是 ( ),国营经济,合资经济,国家资本主义经济,合作社经济,： C
259、只有坚持年度脱贫攻坚报告审查制度，严格考核评估，严肃问责追责，（），才能确保扶贫工作务实，脱贫过程扎实，脱贫结果真实。,防止数字脱贫,防止虚假脱贫,防止数字脱贫、虚假脱贫,防止简单脱贫,： C
260、新中国成立初期，着重发展的是 ( ) 的国家资本主义,加工订货、经销代销,参与入股、共同经营,全行业公私合营,个别企业公私合营,： A
261、无产阶级革命取得胜利的根本保证是(   )。,无产阶级政党的正确领导,建立革命的统一战线,人民群众的革命积极性的极大提高,国家政权问题,： A
262、毛泽东指出(   )是党的生命。,创新和突破,服务和信念,政策和策略,战略和方法,： C
"263、下列会议，结束了王明""左""倾冒险主义在党中央的统治的是 ( )","中共""六大""",晋绥干部会议,瓦窑堡会议,遵义会议,： D
"264、现阶段,我国的统一战线称为(   )。",民族统一战线,社会主义统一战线,爱国统一战线,人民民主专政统一战线,： C
"265、现在20岁左右的大学生,到( ) 年社会主义现代化基本实现时,还不到40岁。",2029,2030,2035,2040,： C
266、(   )为中国送来了马克思列宁主义，帮助中国的先进分子用无产阶级的世界观作为观察国家命运的工具。,共产国际,俄国十月革命的胜利,明治维新,欧洲1848年革命,： B
267、推进党的建设新的伟大工程要求我们：一定要坚持党要管党、从严治党的方针，进一步解决提高党的领导水平和(   )、提高拒腐防变和抵御风险能力这两大历史性课题。,执行能力,执政能力,建设能力,管理能力,： B
268、毛泽东提出著名的十大军事原则是在  ( ),抗日战争时期,井冈山时期,解放战争时期,"反""围剿""的战争中",： C
269、人民当家作主是社会主义民主政治的(   )。,基本保证,根本保证,基本特征,本质特征,： D
"270、中国革命道德传统是指(   )以后,中国共产党人、一切先进分子和人民群众在中国新民主主义革命和社会主义革命、建设和改革中形成的革命气概、精神品质和道德情操。",辛亥革命,五四运动,新中国成立,南昌起义,： B
271、“三个代表”重要思想是中国特色社会主义理论体系的重要组成部分。始终做到“三个代表”，是我们党的立党之本、(   )、力量之源。,发展之基,执政之基,创新之力,建党之旨,： B
272、指挥红军粉碎国民党对中央苏区第四次围剿的是(  ),毛泽东、周恩来,朱德、陈毅,毛泽东、朱德,周恩来、朱德,： D
273、(   )是两岸关系的政治基础。,“和平统一、一国两制”,“武力统一、一国两制”,一个中国,两种制度,： C
274、解决台湾问题、实现祖国完全统一，是新时代中国共产党、中国政府的(   )大历史任务之一。,一,二,三,四,： C
275、(   )全会通过的《关于建立社会主义市场经济体制若干问题的决定》，勾画了建立社会主义市场经济体制的蓝图和基本框架。,十四届三中全会,十四届二中全会,十四届六中全会,十四届五中全会,： A
"276、根据我国现行宪法的规定, 中华人民共和国的根本政治制度是(   )。",人民代表大会制度,人民民主专政制度,民族区域自治制度,社会主义制度,： A
277、2020年全国两会上，国务院总理李克强在政府工作报告中提到，（）是全面建成小康社会的硬任务。,脱贫,就业,风险防控,三大攻坚战,： A
278、中国共产党人的初心和使命，就是（）。,为中国人民谋福利，为中华民族谋复兴,百姓安居乐业，国家繁荣富强,为人民谋福利，实现中国梦,实现全面小康，建设现代化强国,： A
"279、在我国国家机关体系中,( )产生其他国家机关,其他国家机关对它负责,受它监督(   )。",国家行政机关,中共中央,国家权力机关,最高军事领导机关,： C
280、发展社会主义民主政治，必须在坚持(   )的前提下，继续积极稳妥地推进政治体制改革。,邓小平思想,毛泽东理论,四项基本原则,改革开放,： C
281、《中华人民共和国宪法》中的哪项规定充分表明了我国的国家性质?,"中华人民共和国是工人阶级领导的,以工农联盟为基础的人民民主专政的社会主义国家",中华人民共和国的一切权利属于人民.,中华人民共和国各民族一律平等,中华人民共和国的国家机构实行民主集中制的原则,： A
282、习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(   )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,： B
"283、我国国家主席、副主席每届任期5年,由(   )产生。",全国人民代表大会选举,中共中央指定,全国人民代表大会常务委员会选举,全国政协会议选举,： A
284、习近平精准扶贫思想的基本遵循是（）。,精准理念,内源扶贫,科学扶贫,智志双扶,： A
285、十一届三中全会以来，我党制定的一系列正确的路线、方针、政策促进了我国经济的迅猛发展，这说明(   )。,经济基础发展的道路是由上层建筑决定的,上层建筑的发展决定经济基础的发展方向,上层建筑对经济基础具有积极的能动作用,社会主义社会的发展不受经济基础决定上层建筑规律的制约,： C
286、我国建国初期政权的性质是(   )。,无产阶级专政,农民阶级专政,资产阶级专政,各革命阶级联合专政,： D
287、在精准扶贫的主要内容中，精准衡量脱贫成效，解决的是（）的问题。,“扶持谁”,“谁来扶”,“怎么扶”,“如何退”,： D
288、毛泽东的(   )，初步总结了我国社会主义建设的经验，明确提出了以苏为鉴，独立自主地探索适合中国情况的社会主义建设道路。,《湖南农民运动考察报告》,《矛盾论》,《新民主主义论》,《论十大关系》,： D
289、只有推进供给侧结构性改革，提髙(   )体系质量，才能推动经济高质量发展。,生产,供给,消费,需求,： B
290、我国现行宪法是在(   )年颁布的。,1954,1975,1982,1978,： C
291、毛泽东指出，解决人民内部矛盾的总方针是(   )。,民主的方法,“团结—批评—团结”的方法,“百花齐放、百家争鸣”的方法,“长期共存、互相监督”的方法,： A
292、建设中国特色社会主义，关键是坚持、加强和改善(   )。,政府领导,市场作用,党的领导,人大政协作用,： C
293、社会主义核心价值观是(   )的内核凝练和集中表达。,马克思主义理论体系,社会主义理论体系,社会主义思想体系,社会主义核心价值体系,： D
294、2020年政府工作报告指出，创新直达（）的货币政策工具，务必推动企业便利获得贷款，推动利率持续下行。,基层   ,企业  ,实体经济 ,经济实体 ,： C
295、20世纪30年代，中国共产党内最早提出反对教条主义任务的领导人是 ( ),毛泽东,张闻天,周恩来,刘少奇,： A
296、（）是对外开放格局构建的基础，也是最重要的客观方面。,经济基础,地缘条件,社会文化,劳动力素质,： B
297、新民主主义社会在经济上的特点是  ( ),独立性,短暂性,过渡性,长期性,： C
298、社会主义的根本任务是(   )。,阶级斗争,发展,发展生产力	,提高人民生活水平,： C
"299、在科技十分落后的古代,人们梦想过许多东西,如千里眼、顺风耳、飞毯、神枪之类,但像现代生活中普及的电话、电视、电脑等,是那时的人们连想都想不到的。这说明,理想具有(   )。",共同性,时代性,阶级性,思想性,： B
300、以经济建设为中心，回答了社会主义的(   )问题。,根本目标,根本任务,本质特征,基本目标,： B
301、(  )是近代以来中华民族最伟大的梦想。,富国强兵,民族独立,实现中华民族伟大复兴,全面建成小康社会,： C
302、马克思主义经典著作中曾经被称为“时代的歌中之歌”的是(   )。,《共产党宣言》,《资本论》,《反杜林论》,《国家与革命》,： A
303、检验一个人对祖国忠诚程度的试金石是,对人民群众感情的深浅程度,对祖国灿烂文化的热爱程度,对祖国大好河山的依赖程度,对整个民族利益的认同程度,： A
304、中国共产党领导的多党合作和政治协商制度是一项具有中国特色的(   )。,基本制度,政治制度,社会主义制度,基本政治制度,： D
305、精准扶贫基本方略其内涵落脚点是（）。,精准理念,内源扶贫,科学扶贫,智志双扶,： A
306、(   )是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,： D
307、坚持精准扶贫、精准脱贫基本方略，坚持专项扶贫、(   )、社会扶贫等“三位一体”大扶贫格局。,自助扶贫,行业扶贫,政府扶贫,慈善扶贫,： B
308、政府工作报告在回顾2019年和今年以来工作时指出，加强党风廉政建设，扎实开展（）主题教育，严格落实中央八项规定精神，持续纠治“四风”，为基层松绑减负。,“两学一做”     ,“不忘初心、牢记使命”,“三严三实” ,“红色基因,： B
309、中国共产党在抗日根据地为团结开明地主抗日而采取的政策有 ( ) ①“三三制”原则 ②减租减息 ③精兵简政 ④大生产运动,①②,③④,①③,②④,： A
310、《新青年》提出的著名口号是 ( ),联俄、联共、扶助农工,物竞天择，适者生存,师夷长技以制夷,民主和科学,： D
311、第一次国共合作的党内合作方式的提出者是 ( ),马林,孙中山,陈独秀,维津斯基,： A
"312、马克思主义科学地揭示了道德的本质,认为道德是(   )。",“天”的意志、“神”的启示,人先天具有某种良知和善良意志,决定社会生产力发展水平的根本力量,一种由社会经济基础决定的特殊的社会意识形态,： D
313、中国特色社会主义制度能够集中力量办大事，这是中国制度（）的充分体现。,优越性,先进性,民主性,科学性,： A
314、党的（）提出，在中国共产党成立一百年时全面建成小康社会，在新中国成立一百年时建成富强民主文明和谐的社会主义现代化强国。,十七大,十八大,十九大,十五大,： B
315、实现农村贫困人口全部脱贫是全面建成小康社会的（）。,根本方向,核心任务,基本标志,重点保障,： C
316、无产阶级专政的实质是(   )。,无产阶级作为统治阶级掌握国家政权,要消灭剥削、消灭阶级，进到无阶级社会,镇压敌对阶级的反抗和破坏活动,领导和组织社会主义建设,： A
"317、中国共产党历史上有""南陈北李，相约建党""的说法，其中""陈""、""李""分别指 ( )",陈独秀 李达,陈独秀 李大钊,陈潭秋 李大钊,陈潭秋 李达,： B
318、新民主主义革命理论的核心问题是(   )。,革命的动力,革命的前途,革命的领导权,革命的任务,： C
319、把握精准扶贫的内涵，要重点理解精准识别、精准帮扶和精准考核。其中，（）是关键。,精准识别,精准帮扶,精准考核,精准施策,： B
320、大力弘扬我党我军光荣传统和优良作风，永葆人民军队,性质、宗旨、本色,战斗能力,本色,高科技水平,： A
321、建国初期，中国共产党对私营工商业的生产关系、劳资关系和产销关系进行全面调整的原则是 ( ),"""统购统销""","""公私兼顾、劳资两利""","""消灭资本主义""","""经销代销""",： B
322、我国社会主义法律的本质特征不包括,体现了党的主张和人民意志的统一,具有科学性和先进性,是中国特色社会主义建设的重要保障,受少数人狭隘利益的影响,： D
323、辽沈、淮海、平津三大战役共歼灭和改编敌军 ( ),807万人,118万多人,150多万人,130余万人,： C
"324、中国精神植根于中华民族传统文化的土壤之中,孕育在改革开放的中华大地,体现着鲜明的时代特色。习近平总书记指出,实现中国梦必须弘扬中国精神。这就是以爱国主义为核心的民族精神,以改革创新为核心的时代精神。这种精神是凝心聚力的兴国之魂、强国之魄。这表明①中国精神的力量,集中体现为中华文化的力量 ②推动文化发展,基础在于继承,关键在于创新 ③当前,文化越来越成为综合国力的决定性因素 ④中华民族精神随着社会实践的发展而不断丰富",①③,①④,②③,②④,： D
325、严明党的纪律，首要的是严明(   )纪律。,思想,组织,政治,生活,： C
326、检验经济体制和政治体制改革搞得好不好的标准归根到底在于(   )。,资产阶级自由化，思潮是否没有市场,政治局面是否稳定,人民内部矛盾是否得到解决.,是否有利于迅速发展社会生产,： D
327、自力更生、艰苦奋斗，这是实现社会主义初级阶段奋斗目标的(   )。,基本前提,基本保证,根本立足点,根本着力点,： C
328、设立（）是以习近平同志为核心的党中央深入推进京津冀协同发展作出的一项重大决策部署，是千年大计、国家大事。,粤港澳大湾区,长三角一体化发展,雄安新区,黄河流域生态保护和高质量发展,： C
329、社会主义各个阶段的划分最终应以(   )。,生产力的发展为标准,生产关系为标准,生产资料的公有制程度为标准,以阶级斗争为标准,： A
"330、下列事件发生的先后顺序是 ( ) ①中华苏维埃共和国成立 ②日本建立伪""满制国"" ③红军第五次反""围剿""失利 ④福建""中华共和国人民革命政府""成立",②①③④,①③④②,②①④③,①②④③,： D
331、马克思主义最重要的理论品质是(   )。,吐故纳新,科学严谨,博大精深,与时俱进,： D
332、习近平强军思想深刻回答了(   )的时代课题。,新时代建设一支什么样的强大人民军队、怎样建设强大人民军队,军队建设与发展,党指挥枪,军队中的改革,： A
333、改革开放之初，首先用“小康”来诠释中国式现代化的是（）。,毛泽东,邓小平,周恩来,刘少奇,： B
334、科学发展观强调，(   )是加快转变经济发展方式的关键。,实施创新驱动发展战略,掌握关键性的核心技术,社会和谐,全面深化经济体制改革,： D
335、北洋军阀某曾向日本大借款，其中西原借款即达八项，此人是 ( ),黎元洪,冯国璋,段祺瑞,袁世凯,： C
336、社会主义建设时期，关于科学和教育，提出实行“两种劳动制度、两种教育制度”设想的党和国家领导人是(   )。,毛泽东,刘少奇,周恩来,朱德,： B
337、1925年毛泽东在《中国社会各阶级的 析》中指出，中国过去一切革命斗争成效甚少的主要原因(   )。,没有找到革命的新道路,没有扩大民主主义宣传,没有到群众中做实际的调查,没有团结真正的朋友以攻击真正的敌人,： D
338、(   )是国家富强、民族振兴的题中之义和必然要求。,人民幸福,人民满意,社会和谐,共同富裕,： A
339、从1937年卢沟桥事变到1938年10月广州、武汉失守，中国抗日战争处于( ),战略防御阶段,战略决战阶段,战略相持阶段,战略反攻阶段,： A
340、新文化运动的第一旗手是 ( ),周恩来,李大钊,陈独秀,毛泽东,： C
341、中国近代史上，企图复辟帝制并且做了83天皇帝的人是 ( ),袁世凯,张勋,溥仪,光绪帝,： A
342、我国国家制度和国家治理体系多方面显著优势之一：坚持党的集中统一领导，坚持党的科学理论，保持政治稳定，确保国家始终沿着（）方向前进的显著优势。,全面小康,伟大复兴,共产主义,社会主义,： D
343、(   )会议确立了毛泽东在全党的实际领导地位。,八七会议,中共七大,遵义会议,党的六届六中全会,： C
"344、作为一个民族群体意识的载体,常常被称为国家和民族的“胎记”,是一个民族得以延续的“精神基因”的是",宗教信仰,文化传统,风俗习惯,法治观念,： B
"345、马克思主义科学地揭示了道德的本质,认为道德是(   )。",“天”的意志、“神”的启示,人先天具有某种良知和善良意志,决定社会生产力发展水平的根本力量,一种由社会经济基础决定的特殊的社会意识形态,： D
"346、作为一种政治原则,当代中国的爱国主义主要表现为(   )。",献身于中国特色社会主义事业上,"献身于树立崇高的理想道德信念,全心全意为人民服务上",献身于建设和保卫社会主义现代化的事业和祖国统一的事业上,献身于祖国最需要的事业上,： C
347、中共七届二中全会需要解决的重要问题是( ),如何解决民主革命遗留的任务的问题,如何夺取全国革命胜利,民主革命向社会主义革命转变的问题,党的工作重心转移问题,： D
348、新发展理念是是习近平新时代中国特色社会主义(   )思想的主要内容。,经济,政治,文化,社会,： A
"349、在阶级社会中,爱国主义具有(   )。",阶级性,统一性,差异性,对立性,： A
350、党的十九大提出：从2020年到2035年，在全面建成小康社会的基础上，再奋斗15年，（）。,实现社会主义现代化,建成社会主义现代化强国,实现中华民族伟大复兴,基本实现社会主义现代化,： D
351、中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的（）需要和（）的发展之间的矛盾。,美好生活；不充分不平衡,幸福生活；不平衡不充分,幸福生活；不充分不平衡,美好生活；不平衡不充分,： D
352、太平天国革命前期的纲领《天朝田亩制度》实际上是一个以 ( ) 为中心的比较完善的社会改革方案,圣库制度,军事斗争,土地问题,资产阶级改良,： C
353、习近平新时代中国特色社会主义思想的核心要义是(   )。,坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,： C
354、中国工人阶级的产生 (  ),几乎同时于中国资产阶级,晚于中国资产阶级,同时于中国资产阶级,先于中国资产阶级,： D
355、科学发展观的基本要求是(   )。,以人为本,统筹兼顾,全面发展,全面协调可持续,： D
"356、在新的历史条件下,致力于中华民族的伟大复兴,必须在爱国主义旗帜下,集中整个民族的智慧和力量来谋求国家的发展和民族的振兴,建立(   )。",一支强大的人民军队,一支高素质的庞大的知识分子队伍,同各国经济文化的广泛交流,最广泛的爱国统一战线,： D
357、中国第一个传播马克思主义并主张向俄国十月革命学习的先进分子是 ( ),胡适,鲁迅,陈独秀,李大钊,： D
358、中国革命的首要对象(   )。,大资产阶级,民族资产阶级,封建势力,帝国主义,： D
359、实现社会主义的必要政治前提是(   )。,无产阶级政党的领导,建立无产阶级专政,无产阶级的革命斗争,建立广泛的革命统一战线,： B
